id,Label,Year
0,Artificial_Intelligence,1979
1,Databases,1990
2,Databases,1993
3,Databases,1993
4,Databases,1994
5,Databases,1992
6,Programming,1991
7,Artificial_Intelligence,1989
8,Artificial_Intelligence,1993
9,Operating_Systems,1990
10,Operating_Systems,1991
11,Operating_Systems,1993
12,Operating_Systems,1991
13,Operating_Systems,1991
14,Operating_Systems,1994
15,Operating_Systems,1991
16,Networking,1994
17,Networking,1993
18,Encryption_and_Compression,1994
19,Programming,1990
20,Artificial_Intelligence,1993
21,Artificial_Intelligence,1960
22,Artificial_Intelligence,1994
23,Artificial_Intelligence,1996
24,Artificial_Intelligence,1970
25,Networking,1997
26,Networking,1996
27,Networking,1996
28,Networking,1997
29,Human_Computer_Interaction,1998
30,Operating_Systems,1997
31,Operating_Systems,1994
32,Networking,1987
33,Data_Structures__Algorithms_and_Theory,1990
34,Networking,1989
35,Programming,1997
36,Data_Structures__Algorithms_and_Theory,1992
37,Artificial_Intelligence,1995
38,Data_Structures__Algorithms_and_Theory,1996
39,Encryption_and_Compression,1998
40,Artificial_Intelligence,1989
41,Data_Structures__Algorithms_and_Theory,1995
42,Data_Structures__Algorithms_and_Theory,1995
43,Artificial_Intelligence,1992
44,Data_Structures__Algorithms_and_Theory,1992
45,Artificial_Intelligence,1992
46,Human_Computer_Interaction,1995
47,Artificial_Intelligence,1995
48,Artificial_Intelligence,1989
49,Artificial_Intelligence,1979
50,Artificial_Intelligence,1996
51,Artificial_Intelligence,1995
52,Information_Retrieval,1994
53,Artificial_Intelligence,1995
54,Programming,1993
55,Programming,1995
56,Artificial_Intelligence,1993
57,Artificial_Intelligence,1994
58,Artificial_Intelligence,1996
59,Operating_Systems,1991
60,Artificial_Intelligence,1996
61,Artificial_Intelligence,1995
62,Artificial_Intelligence,1994
63,Artificial_Intelligence,1992
64,Artificial_Intelligence,1995
65,Programming,1988
66,Programming,1981
67,Artificial_Intelligence,1993
68,Databases,1994
69,Operating_Systems,1990
70,Networking,1989
71,Artificial_Intelligence,1983
72,Artificial_Intelligence,1982
73,Artificial_Intelligence,1985
74,Artificial_Intelligence,1989
75,Artificial_Intelligence,1990
76,Programming,1989
77,Data_Structures__Algorithms_and_Theory,1994
78,Programming,1995
79,Programming,1994
80,Programming,1995
81,Programming,1992
82,Programming,1994
83,Programming,1989
84,Programming,1994
85,Programming,1994
86,Programming,1992
87,Programming,1992
88,Operating_Systems,1992
89,Operating_Systems,1994
90,Data_Structures__Algorithms_and_Theory,1994
91,Artificial_Intelligence,1993
92,Operating_Systems,1992
93,Data_Structures__Algorithms_and_Theory,1994
94,Operating_Systems,1994
95,Data_Structures__Algorithms_and_Theory,1994
96,Operating_Systems,1987
97,Data_Structures__Algorithms_and_Theory,1991
98,Data_Structures__Algorithms_and_Theory,1995
99,Data_Structures__Algorithms_and_Theory,1986
100,Operating_Systems,1988
101,Data_Structures__Algorithms_and_Theory,1993
102,Data_Structures__Algorithms_and_Theory,1986
103,Data_Structures__Algorithms_and_Theory,1995
104,Programming,1993
105,Programming,1994
106,Programming,1994
107,Programming,1995
108,Programming,1996
109,Operating_Systems,1993
110,Programming,1992
111,Programming,1992
112,Programming,1991
113,Encryption_and_Compression,1987
114,Information_Retrieval,1993
115,Operating_Systems,1991
116,Programming,1993
117,Databases,1992
118,Databases,1997
119,Artificial_Intelligence,1992
120,Artificial_Intelligence,1991
121,Artificial_Intelligence,1992
122,Hardware_and_Architecture,1993
123,Programming,1996
124,Artificial_Intelligence,1997
125,Artificial_Intelligence,1997
126,Human_Computer_Interaction,1992
127,Human_Computer_Interaction,1996
128,Artificial_Intelligence,1992
129,Artificial_Intelligence,1994
130,Artificial_Intelligence,1994
131,Artificial_Intelligence,1995
132,Artificial_Intelligence,1959
133,Networking,1994
134,Networking,1995
135,Artificial_Intelligence,1995
136,Artificial_Intelligence,1989
137,Artificial_Intelligence,1992
138,Data_Structures__Algorithms_and_Theory,1996
139,Programming,1996
140,Programming,1991
141,Programming,1997
142,Operating_Systems,1990
143,Artificial_Intelligence,1996
144,Artificial_Intelligence,1994
145,Programming,1960
146,Networking,1996
147,Artificial_Intelligence,1996
148,Human_Computer_Interaction,1994
149,Human_Computer_Interaction,1993
150,Data_Structures__Algorithms_and_Theory,1993
151,Human_Computer_Interaction,1975
152,Databases,1989
153,Databases,1994
154,Databases,1987
155,Artificial_Intelligence,1995
156,Operating_Systems,1993
157,Operating_Systems,1993
158,Programming,1993
159,Programming,1990
160,Artificial_Intelligence,1994
161,Artificial_Intelligence,1992
162,Artificial_Intelligence,1995
163,Information_Retrieval,1995
164,Networking,1994
165,Artificial_Intelligence,1995
166,Artificial_Intelligence,1995
167,Artificial_Intelligence,1994
168,Information_Retrieval,1995
169,Artificial_Intelligence,1995
170,Programming,1997
171,Programming,1995
172,Networking,1993
173,Data_Structures__Algorithms_and_Theory,1988
174,Human_Computer_Interaction,1986
175,Programming,1988
176,Programming,1991
177,Programming,1991
178,Programming,1991
179,Programming,1990
180,Artificial_Intelligence,1984
181,Artificial_Intelligence,1996
182,Artificial_Intelligence,1995
183,Artificial_Intelligence,1996
184,Artificial_Intelligence,1995
185,Artificial_Intelligence,1996
186,Artificial_Intelligence,1996
187,Artificial_Intelligence,1995
188,Artificial_Intelligence,1994
189,Artificial_Intelligence,1994
190,Artificial_Intelligence,1995
191,Artificial_Intelligence,1993
192,Programming,1995
193,Programming,1993
194,Programming,1996
195,Programming,1996
196,Programming,1990
197,Programming,1995
198,Programming,1995
199,Programming,1996
200,Programming,1998
201,Programming,1997
202,Programming,1997
203,Programming,1995
204,Programming,1992
205,Programming,1995
206,Programming,1996
207,Programming,1995
208,Operating_Systems,1993
209,Artificial_Intelligence,1997
210,Artificial_Intelligence,1996
211,Artificial_Intelligence,1994
212,Data_Structures__Algorithms_and_Theory,1993
213,Artificial_Intelligence,1994
214,Artificial_Intelligence,1994
215,Programming,1994
216,Operating_Systems,1988
217,Encryption_and_Compression,1989
218,Data_Structures__Algorithms_and_Theory,1997
219,Encryption_and_Compression,1985
220,Networking,1996
221,Hardware_and_Architecture,1993
222,Operating_Systems,1991
223,Networking,1991
224,Operating_Systems,1995
225,Operating_Systems,1991
226,Operating_Systems,1993
227,Operating_Systems,1994
228,Operating_Systems,1992
229,Operating_Systems,1992
230,Operating_Systems,1994
231,Operating_Systems,1995
232,Artificial_Intelligence,1993
233,Artificial_Intelligence,1994
234,Artificial_Intelligence,1994
235,Human_Computer_Interaction,1994
236,Databases,1996
237,Databases,1996
238,Databases,1996
239,Databases,1996
240,Artificial_Intelligence,1995
241,Artificial_Intelligence,1993
242,Artificial_Intelligence,1996
243,Artificial_Intelligence,1995
244,Artificial_Intelligence,1993
245,Artificial_Intelligence,1995
246,Artificial_Intelligence,1994
247,Artificial_Intelligence,1995
248,Artificial_Intelligence,1994
249,Databases,1990
250,Databases,1993
251,Artificial_Intelligence,1995
252,Artificial_Intelligence,1995
253,Artificial_Intelligence,1995
254,Artificial_Intelligence,1994
255,Operating_Systems,1995
256,Data_Structures__Algorithms_and_Theory,1995
257,Operating_Systems,1995
258,Data_Structures__Algorithms_and_Theory,1997
259,Operating_Systems,1995
260,Operating_Systems,1994
261,Networking,1995
262,Operating_Systems,1995
263,Programming,1993
264,Data_Structures__Algorithms_and_Theory,1993
265,Data_Structures__Algorithms_and_Theory,1993
266,Data_Structures__Algorithms_and_Theory,1996
267,Operating_Systems,1995
268,Operating_Systems,1995
269,Data_Structures__Algorithms_and_Theory,1995
270,Networking,1994
271,Operating_Systems,1994
272,Operating_Systems,1992
273,Operating_Systems,1995
274,Encryption_and_Compression,1989
275,Encryption_and_Compression,1994
276,Data_Structures__Algorithms_and_Theory,1991
277,Data_Structures__Algorithms_and_Theory,1996
278,Data_Structures__Algorithms_and_Theory,1997
279,Data_Structures__Algorithms_and_Theory,1996
280,Artificial_Intelligence,1995
281,Artificial_Intelligence,1996
282,Artificial_Intelligence,1996
283,Artificial_Intelligence,1993
284,Artificial_Intelligence,1996
285,Artificial_Intelligence,1994
286,Artificial_Intelligence,1989
287,Artificial_Intelligence,1994
288,Artificial_Intelligence,1993
289,Artificial_Intelligence,1996
290,Artificial_Intelligence,1995
291,Artificial_Intelligence,1995
292,Artificial_Intelligence,1995
293,Artificial_Intelligence,1992
294,Artificial_Intelligence,1994
295,Artificial_Intelligence,1992
296,Data_Structures__Algorithms_and_Theory,1995
297,Data_Structures__Algorithms_and_Theory,1998
298,Data_Structures__Algorithms_and_Theory,1998
299,Artificial_Intelligence,1995
300,Artificial_Intelligence,1994
301,Operating_Systems,1994
302,Operating_Systems,1991
303,Programming,1996
304,Programming,1997
305,Programming,1991
306,Encryption_and_Compression,1996
307,Operating_Systems,1990
308,Operating_Systems,1996
309,Encryption_and_Compression,1994
310,Programming,1993
311,Data_Structures__Algorithms_and_Theory,1997
312,Encryption_and_Compression,1992
313,Encryption_and_Compression,1992
314,Encryption_and_Compression,1996
315,Encryption_and_Compression,1995
316,Encryption_and_Compression,1992
317,Encryption_and_Compression,1995
318,Encryption_and_Compression,1995
319,Encryption_and_Compression,1992
320,Encryption_and_Compression,1993
321,Encryption_and_Compression,1996
322,Encryption_and_Compression,1997
323,Encryption_and_Compression,1997
324,Encryption_and_Compression,1995
325,Encryption_and_Compression,1996
326,Encryption_and_Compression,1998
327,Encryption_and_Compression,1997
328,Encryption_and_Compression,1995
329,Encryption_and_Compression,1995
330,Encryption_and_Compression,1983
331,Encryption_and_Compression,1996
332,Encryption_and_Compression,1986
333,Encryption_and_Compression,1993
334,Encryption_and_Compression,1995
335,Encryption_and_Compression,1996
336,Encryption_and_Compression,1996
337,Encryption_and_Compression,1996
338,Encryption_and_Compression,1998
339,Encryption_and_Compression,1987
340,Encryption_and_Compression,1989
341,Encryption_and_Compression,1988
342,Encryption_and_Compression,1997
343,Encryption_and_Compression,1992
344,Encryption_and_Compression,1993
345,Data_Structures__Algorithms_and_Theory,1978
346,Encryption_and_Compression,1997
347,Encryption_and_Compression,1986
348,Artificial_Intelligence,1996
349,Artificial_Intelligence,1996
350,Artificial_Intelligence,1997
351,Artificial_Intelligence,1996
352,Artificial_Intelligence,1995
353,Artificial_Intelligence,1992
354,Artificial_Intelligence,1996
355,Operating_Systems,1993
356,Hardware_and_Architecture,1990
357,Data_Structures__Algorithms_and_Theory,1992
358,Operating_Systems,1992
359,Artificial_Intelligence,1992
360,Artificial_Intelligence,1996
361,Programming,1998
362,Artificial_Intelligence,1993
363,Artificial_Intelligence,1994
364,Artificial_Intelligence,1993
365,Artificial_Intelligence,1990
366,Artificial_Intelligence,1993
367,Artificial_Intelligence,1992
368,Operating_Systems,1986
369,Programming,1991
370,Operating_Systems,1994
371,Operating_Systems,1993
372,Hardware_and_Architecture,1994
373,Operating_Systems,1996
374,Operating_Systems,1990
375,Human_Computer_Interaction,1996
376,Programming,1992
377,Operating_Systems,1994
378,Operating_Systems,1994
379,Operating_Systems,1996
380,Operating_Systems,1996
381,Operating_Systems,1994
382,Programming,1993
383,Programming,1993
384,Operating_Systems,1993
385,Programming,1992
386,Programming,1994
387,Programming,1993
388,Programming,1992
389,Artificial_Intelligence,1996
390,Programming,1993
391,Artificial_Intelligence,1996
392,Artificial_Intelligence,1995
393,Artificial_Intelligence,1995
394,Artificial_Intelligence,1995
395,Artificial_Intelligence,1994
396,Artificial_Intelligence,1992
397,Artificial_Intelligence,1997
398,Programming,1989
399,Programming,1994
400,Programming,1989
401,Programming,1996
402,Programming,1993
403,Programming,1991
404,Programming,1994
405,Databases,1994
406,Artificial_Intelligence,1993
407,Programming,1991
408,Programming,1996
409,Programming,1994
410,Programming,1994
411,Programming,1998
412,Operating_Systems,1995
413,Operating_Systems,1992
414,Operating_Systems,1996
415,Programming,1998
416,Operating_Systems,1994
417,Operating_Systems,1996
418,Operating_Systems,1993
419,Operating_Systems,1998
420,Operating_Systems,1996
421,Databases,1994
422,Databases,1997
423,Databases,1990
424,Human_Computer_Interaction,1997
425,Programming,1988
426,Programming,1974
427,Operating_Systems,1988
428,Databases,1994
429,Artificial_Intelligence,1991
430,Artificial_Intelligence,1992
431,Artificial_Intelligence,1994
432,Operating_Systems,1992
433,Operating_Systems,1996
434,Operating_Systems,1992
435,Operating_Systems,1988
436,Hardware_and_Architecture,1990
437,Information_Retrieval,1994
438,Operating_Systems,1994
439,Artificial_Intelligence,1995
440,Operating_Systems,1992
441,Hardware_and_Architecture,1995
442,Operating_Systems,1991
443,Operating_Systems,1993
444,Hardware_and_Architecture,1994
445,Artificial_Intelligence,1995
446,Artificial_Intelligence,1994
447,Artificial_Intelligence,1995
448,Artificial_Intelligence,1995
449,Artificial_Intelligence,1991
450,Artificial_Intelligence,1993
451,Artificial_Intelligence,1996
452,Artificial_Intelligence,1995
453,Artificial_Intelligence,1991
454,Artificial_Intelligence,1994
455,Artificial_Intelligence,1996
456,Artificial_Intelligence,1994
457,Artificial_Intelligence,1995
458,Artificial_Intelligence,1992
459,Artificial_Intelligence,1993
460,Artificial_Intelligence,1991
461,Operating_Systems,1997
462,Databases,1996
463,Databases,1993
464,Databases,1995
465,Information_Retrieval,1996
466,Databases,1997
467,Programming,1997
468,Programming,1998
469,Programming,1997
470,Programming,1997
471,Programming,1998
472,Programming,1996
473,Operating_Systems,1995
474,Operating_Systems,1990
475,Operating_Systems,1996
476,Operating_Systems,1997
477,Operating_Systems,1997
478,Operating_Systems,1995
479,Artificial_Intelligence,1997
480,Artificial_Intelligence,1987
481,Artificial_Intelligence,1994
482,Artificial_Intelligence,1992
483,Artificial_Intelligence,1994
484,Artificial_Intelligence,1993
485,Operating_Systems,1992
486,Operating_Systems,1993
487,Programming,1994
488,Programming,1993
489,Data_Structures__Algorithms_and_Theory,1994
490,Programming,1994
491,Programming,1993
492,Operating_Systems,1991
493,Operating_Systems,1996
494,Programming,1993
495,Programming,1990
496,Programming,1992
497,Programming,1997
498,Operating_Systems,1996
499,Databases,1993
500,Databases,1990
501,Programming,1975
502,Programming,1995
503,Networking,1992
